Aberdeen, SD (ABR) 
Abilene, TX (ABI)
Adak Island, AK (ADK)
Akiachak, AK (KKI)
Akiak, AK (AKI)
Akron/Canton, OH (CAK)
Akuton, AK (KQA)
Alakanuk, AK (AUK)
Alamogordo, NM (ALM)
Alamosa, CO (ALS)
Albany, NY (ALB)
Albany, OR - Bus service (CVO)
Albany, OR - Bus service (QWY)
Albuquerque, NM (ABQ)
Aleknagik, AK (WKK)
Alexandria, LA (AEX)
Allakaket, AK (AET)
Allentown, PA (ABE)
Alliance, NE (AIA)
Alpena, MI (APN)
Altoona, PA (AOO)
Amarillo, TX (AMA)
Ambler, AK (ABL)
Anaktueuk, AK (AKP)
Anchorage, AK (ANC)
Angoon, AK (AGN)
Aniak, AK (ANI)
Anvik, AK (ANV)
Appleton, WI (ATW)
Arcata, CA (ACV)
Arctic Village, AK (ARC)
Asheville, NC (AVL)
Ashland, KY/Huntington, WV (HTS)
Aspen, CO (ASE)
Athens, GA (AHN)
Atka, AK (AKB)
Atlanta, GA (ATL)
Atlantic City, NJ (AIY)
Atqasuk, AK (ATK)
Augusta, GA (AGS)
Augusta, ME (AUG)
Austin, TX (AUS)
